,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9165562913907284,0.9167769251124636,0.921164583887264,0.9189655172413792,0.6238410596026489,0.7001756327153232,1683890.5181685332,6.579710960388184
Word level [ALL],0.8132450331125828,0.4256805589014696,0.2868972235752557,0.34277400581959266,0.052980132450331126,3.677140353855334,9574257.690401083,115.84036588668823
Word level [en],0.8900662251655629,0.6061584840654608,0.5422847235600077,0.5724453482460601,0.07549668874172186,1.8862955733349451,3773225.309007095,24.96436858177185
Word level [de],0.8834437086092716,0.6188736027515047,0.5353291186314615,0.5740777666999003,0.08344370860927153,1.899607475494084,4659341.37338582,25.05973863601685
Word level [es],0.8966887417218543,0.62,0.512825278810409,0.5613428280773144,0.08741721854304636,2.0034280576204,17040337.577515192,25.07941246032715
Word level [fr],0.8993377483443709,0.5965202982601492,0.5206073752711496,0.5559845559845561,0.07947019867549669,2.0193278927552067,4033445.4877371057,25.0989990234375
Word level [pt],0.8807947019867549,0.6218469431380932,0.5142301573272052,0.5629414610546686,0.0913907284768212,2.069407965634998,5026190.198761937,24.83823180198669
Word level [zh_cn],0.8887417218543047,0.6493297587131367,0.5875788452207666,0.6169128884360672,0.10066225165562914,1.8012343977627,4700839.325383381,25.041303634643555
Alignments [ALL],0.7324503311258278,0.3183903988704553,0.4083295608872793,0.3577945259817533,0.0728476821192053,8.315960921739277,65382566421.23496,159.10181736946106
Alignments [en],0.7708609271523179,0.44995539696699377,0.5381988903115663,0.4901370129239141,0.07417218543046357,6.4427139708870325,64483650877.077675,31.312439441680908
Alignments [de],0.7827814569536424,0.4343163538873995,0.5207715133531158,0.4736309456876195,0.08741721854304636,6.324060517863224,771263637.3894367,31.887061834335327
Alignments [es],0.7589403973509934,0.4206465833945629,0.4849639983058026,0.4505213456620106,0.046357615894039736,6.364781816382158,1221126741.9444726,32.690300226211555
Alignments [fr],0.7774834437086092,0.477639751552795,0.5607681088964511,0.5158765652951699,0.10331125827814568,5.9699834447158,131478571.0954225,32.247063636779785
Alignments [pt],0.7788079470198676,0.4327607875994973,0.5209278870398386,0.4727688787185355,0.0728476821192053,6.483155064833793,592065932.9330926,32.09964919090271
Alignments [zh_cn],0.8490066225165563,0.6866566716641679,0.7314169570267132,0.7083304042179263,0.22781456953642384,2.536194344884471,28717759.17734105,33.5932457447052
